Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1986,1986,t,45155,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1987,1987,t,57885,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1988,1988,t,57140,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1989,1989,t,63256,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1990,1990,t,59854,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1991,1991,t,68913,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1992,1992,t,75356,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1993,1993,t,62924,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1994,1994,t,61430,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1995,1995,t,84446,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1996,1996,t,97004,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1997,1997,t,91382,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1998,1998,t,117831,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1999,1999,t,110509,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2000,2000,t,149301,E,Estimated value,
