"YearMonth","PriceAvg","PrcpAvg","TAvg","Dom_USD_Period_Average"
1994-10-01,1447.96095238095,0.102945512820513,79.4095695970696,0.1
1994-11-01,1436.98045454545,0.0165977011494253,81.8939655172414,0.1
1994-12-01,1399.39047619048,0.00843489730544564,83.4215234595817,0.1
1995-01-01,1468.8180952381,0,85,0.11
1995-02-01,1510.4375,0.0133630952380952,84.3220238095238,0.11
1995-03-01,1484.93608695652,0.110191570881226,82.4663929939792,0.11
1995-04-01,1469.19684210526,0.0850209523809524,82.8945714285714,0.11
1995-05-01,1445.35272727273,0.0484356060606061,82.5352272727273,0.11
1995-06-01,1437.17,0.18798309178744,79.8200483091787,0.12
1995-07-01,1364.01333333333,0.0365426587301587,78.1378968253968,0.12
1995-08-01,1412.97782608696,0.0190151515151515,77.8472222222222,0.12
1995-09-01,1396.90238095238,0.000227272727272727,78.4431818181818,0.12
1995-10-01,1394.58,0,77.8,0.13
1995-11-01,1436.55909090909,0,83,0.14
1995-12-01,1378.81,0,81.1428571428571,0.14
1996-01-01,1349.54136363636,0,82.1666666666667,0.15
1996-02-01,1369.83952380952,0,84.2857142857143,0.15
1996-03-01,1338.60095238095,0,84,0.16
1996-04-01,1456.27952380952,0,83.6666666666667,0.16
1996-05-01,1524.02045454545,0.279933333333333,80.6911111111111,0.16
1996-06-01,1537.5725,0.0495833333333333,79.0892857142857,0.16
1996-07-01,1495.68,0.159427777777778,77.0116666666667,0.17
1996-08-01,1499.88318181818,0.0975308641975309,76.5493827160494,0.17
1996-09-01,1476.27904761905,0.0814824561403509,76.4929824561404,0.17
1996-10-01,1476.98043478261,0.00037037037037037,80,0.17
1996-11-01,1469.27714285714,0.0121577380952381,81.099503968254,0.17
1996-12-01,1474.384,0.00115942028985507,80.0797101449275,0.17
1997-01-01,1428.47954545455,0.0158641975308642,81.1776014109347,0.17
1997-02-01,1372.742,0,83.1333333333333,0.18
1997-03-01,1523.6395,0.132444444444444,83.3877777777778,0.19
1997-04-01,1571.00954545455,0.216663492063492,81.8338095238095,0.19
1997-05-01,1568.29571428571,0.16773425499232,80.8859447004608,0.2
1997-06-01,1688.33476190476,0.286453174603175,78.7988095238095,0.21
1997-07-01,1677.26652173913,0.031605222734255,77.1048771121352,0.21
1997-08-01,1652.12142857143,0.0414311224489796,77.1892006802721,0.22
1997-09-01,1769.745,0.124361904761905,78.9913095238095,0.22
1997-10-01,1741.38434782609,0.0813206349206349,80.5938095238095,0.22
1997-11-01,1694.7575,0.0609833333333333,81.9740952380952,0.22
1997-12-01,1737.24047619048,0.0229545454545455,81.9166666666667,0.22
1998-01-01,1668.147,0,82.0008771929825,0.23
1998-02-01,1640.835,0.0167407407407407,85.4456790123457,0.23
1998-03-01,1719.21227272727,0.045,86.6458333333333,0.23
1998-04-01,1726.49523809524,0.127444444444444,85.4944444444444,0.23
1998-05-01,1794.4185,0.179516129032258,82.92089093702,0.23
1998-06-01,1721.89363636364,0.186530864197531,80.3399470899471,0.23
1998-07-01,1712.2252173913,0.0320752688172043,78.3978494623656,0.23
1998-08-01,1683.68476190476,0.0428409090909091,77.3893939393939,0.23
1998-09-01,1687.31545454545,0.150438888888889,78.5527777777778,0.23
1998-10-01,1646.42909090909,0.249016666666667,80.5433333333333,0.23
1998-11-01,1594.90571428571,0.167444444444444,83.0361111111111,0.23
1998-12-01,1514.84636363636,0,82.81,0.23
1999-01-01,1455.232,0,81.9791666666667,0.23
1999-02-01,1408.4655,0,83.262962962963,0.24
1999-03-01,1313.24391304348,0,83.7333333333333,0.24
1999-04-01,1186.15952380952,0.00177777777777778,83.2222222222222,0.24
1999-05-01,1062.5645,0,82.4172839506173,0.25
1999-06-01,1161.83318181818,0,80.6372549019608,0.25
1999-07-01,1113.39363636364,0,78.3901515151515,0.26
1999-08-01,1056.37727272727,0,79.5,0.26
1999-09-01,1061.37590909091,0,77.2333333333333,0.26
1999-10-01,1021.48619047619,0,82,0.29
1999-11-01,922.463181818182,0.09,83,0.33
1999-12-01,918.675,0,82.5238095238095,0.35
2000-01-01,917.71380952381,0.00269230769230769,82.6128205128205,0.36
2000-02-01,859.125238095238,0,86,0.38
2000-03-01,932.879565217391,0.0232666666666667,84.06,0.41
2000-04-01,911.364210526316,0,83.9333333333333,0.45
2000-05-01,908.864090909091,0,82.1,0.48
2000-06-01,941.570909090909,0.0614197530864198,79.6172839506173,0.53
2000-07-01,936.686190476191,0.0195,77.65,0.59
2000-08-01,877.876956521739,0.0323412698412698,76.9365079365079,0.63
2000-09-01,883.122857142857,0.00725,78.3333333333333,0.65
2000-10-01,878.121818181818,0.005,79.875,0.67
2000-11-01,800.870454545455,0.00781746031746032,81.7488662131519,0.69
2000-12-01,803.591,0.0748275862068965,81.7758620689655,0.7
2001-01-01,966.581363636364,0,81.8482142857143,0.7
2001-02-01,1156.9375,0.00108695652173913,82.695652173913,0.7
2001-03-01,1124.40590909091,0.0175537634408602,83.1693548387097,0.71
2001-04-01,1081.6155,0,83.0747126436782,0.72
2001-05-01,1079.62636363636,0.0469230769230769,82.6153846153846,0.72
2001-06-01,972.153333333333,0,79.5,0.72
2001-07-01,967.112272727273,0.00037037037037037,77.8148148148148,0.72
2001-08-01,1034.10608695652,0,76.8064516129032,0.71
2001-09-01,1019.7765,0,76.7777777777778,0.72
2001-10-01,1084.77826086957,0,79.3460837887067,0.72
2001-11-01,1240.82636363636,0,82,0.72
2001-12-01,1336.78941176471,0,82,0.73
2002-01-01,1384.21636363636,0,82,0.73
2002-02-01,1491.7755,0.00890909090909091,83.7718614718615,0.74
2002-03-01,1592.0285,0.0243888888888889,84.0722222222222,0.75
2002-04-01,1569.28772727273,0.122857142857143,83.9464285714286,0.77
2002-05-01,1605.28913043478,0.0314,82.89,0.78
2002-06-01,1658.655,0.0508333333333333,79.5416666666667,0.8
2002-07-01,1868.5952173913,0,79.4,0.81
2002-08-01,1960.46818181818,0,77.6666666666667,0.81
2002-09-01,2163.93714285714,0,78,0.82
2002-10-01,2205.26217391304,0,80.7916666666667,0.82
2002-11-01,1814.06523809524,0.0432777777777778,81.6777777777778,0.83
2002-12-01,2022.724,0.000258064516129032,81.6091397849462,0.84
